code,name,latitude,longitude,london,beds,boroughHousedOwnBorough,boroughHousedLondon,boroughHousedLondonTotal,originOwnBorough,originOtherLondon_known,originOtherLondonUnknown,originLondonTotal,originOutsideLondonKnown,originOutsideLondonUnknown,originOutsideLondonTotal,originUnknown,boroughRefugeTotal,helplineCalls,population,callsPer1000Pop,NumberofBoroughsArriving,NumberofBoroughsLeaving
E09000027,Richmond upon Thames,51.449001,-0.31703,1,15,0,2,2,0,18,1,19,2,0,2,3,25,100,186984,0.53,14,2
E09000021,Kingston upon Thames,51.3979,-0.287303,1,15,0,3,3,0,10,1,11,2,1,3,1,15,69,160008,0.43,8,2
E09000033,Westminster,51.513199,-0.148686,1,35,0,5,5,0,38,3,41,13,2,15,1,57,117,219361,0.53,20,4
E09000001,City of London,51.514301,-0.091475,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7355,0,0,6
E09000029,Sutton,51.364201,-0.181926,1,12,0,8,8,0,7,5,12,1,6,7,0,19,51,190203,0.27,5,7
E09000016,Havering,51.571098,0.203656,1,23,0,8,8,0,4,3,7,0,3,3,8,18,75,237245,0.32,2,6
E09000024,Merton,51.411098,-0.19611,1,20,0,8,8,0,22,0,22,1,3,4,2,28,107,199777,0.54,15,5
E09000020,Kensington and Chelsea,51.498501,-0.187318,1,20,2,7,9,2,9,2,11,4,1,5,0,18,82,158649,0.52,8,8
E09000006,Bromley,51.3918,0.02663,1,41,1,8,9,1,1,1,2,0,0,0,14,17,149,309218,0.48,1,8
E09000004,Bexley,51.459099,0.136015,1,21,2,10,12,2,19,0,19,8,2,10,3,34,114,231975,0.49,11,8
E09000013,Hammersmith and Fulham,51.492199,-0.216618,1,20,2,11,13,2,10,1,11,4,2,6,6,25,135,182600,0.74,9,8
E09000032,Wandsworth,51.455399,-0.177249,1,23,3,12,15,3,15,0,15,4,1,5,5,28,137,306949,0.45,11,8
E09000019,Islington,51.538898,-0.108493,1,27,0,17,17,0,34,2,36,8,1,9,2,47,126,206081,0.61,19,12
E09000007,Camden,51.5341,-0.143185,1,33,1,20,21,1,38,2,40,1,2,3,1,45,132,220382,0.6,18,15
E09000026,Redbridge,51.579399,0.066276,1,14,0,21,21,0,10,1,11,1,3,4,0,15,165,278927,0.59,7,12
E09000015,Harrow,51.5919,-0.33809,1,6,2,20,22,2,4,0,4,4,0,4,0,10,154,238873,0.64,3,15
E09000018,Hounslow,51.471401,-0.347354,1,34,0,25,25,0,33,2,35,3,9,12,2,49,211,253977,0.83,18,16
E09000002,Barking and Dagenham,51.5466,0.125138,1,12,0,26,26,0,6,0,3,3,3,6,0,9,112,185974,0.6,3,19
E09000012,Hackney,51.5495,-0.069835,1,48,1,25,26,1,51,3,54,7,7,14,6,75,243,246133,0.99,21,15
E09000003,Barnet,51.605598,-0.20749,1,19,7,20,27,7,18,0,18,4,1,5,2,32,188,356189,0.53,11,15
E09000011,Greenwich,51.476501,0.052027,1,30,3,25,28,3,33,1,34,6,16,22,0,59,178,254509,0.7,14,16
E09000022,Lambeth,51.4576,-0.120206,1,52,2,26,28,2,45,8,53,12,6,18,5,78,338,303183,1.11,22,15
E09000017,Hillingdon,51.537899,-0.438425,1,7,1,28,29,1,6,0,6,3,1,4,0,11,194,273933,0.71,5,18
E09000005,Brent,51.551899,-0.257656,1,19,0,30,30,0,18,2,20,5,1,6,0,26,224,311242,0.72,13,18
E09000028,Southwark,51.483601,-0.078411,1,24,0,32,32,0,3,2,5,2,1,3,4,12,141,288230,0.49,3,16
E09000030,Tower Hamlets,51.5177,-0.043912,1,34,1,32,33,1,29,12,41,9,8,17,4,63,180,254074,0.71,18,17
E09000009,Ealing,51.5182,-0.325289,1,24,4,29,33,4,24,9,33,3,5,8,4,49,243,338469,0.72,16,18
E09000014,Haringey,51.589699,-0.10574,1,31,2,36,38,2,47,3,50,8,2,10,2,64,144,255241,0.56,21,18
E09000031,Waltham Forest,51.588001,-0.009429,1,27,2,37,39,2,25,5,30,6,4,10,4,46,184,258262,0.71,15,17
E09000008,Croydon,51.368198,-0.09617,1,21,3,36,39,3,34,2,36,6,2,8,5,52,332,363457,0.91,22,20
E09000010,Enfield,51.639999,-0.082491,1,29,1,39,40,1,36,5,41,6,2,8,4,54,227,312450,0.73,16,19
E09000023,Lewisham,51.4524,-0.024704,1,42,2,40,42,2,35,0,35,5,1,6,4,47,272,276034,0.99,17,18
E09000025,Newham,51.531502,0.031434,1,34,9,42,51,9,18,1,19,7,3,10,0,38,275,307967,0.89,13,18
