lad_arrive_name,lad_arrive_code,lat_arrive,lon_arrive,lad_depart_name,lad_depart_code,lat_depart,lon_depart,lad_depart_london,count,unknownLocation,UKtotal,totalsNotLondon,routesArrivingLondonAndOutside
Barking and Dagenham,E09000002,51.5466,0.125138,Newham,E09000025,51.531502,0.031434,1,1,0,0,0,1
Barking and Dagenham,E09000002,51.5466,0.125138,Lewisham,E09000023,51.4524,-0.024704,1,1,0,0,0,1
Barking and Dagenham,E09000002,51.5466,0.125138,Enfield,E09000010,51.639999,-0.082491,1,1,0,0,0,1
Barking and Dagenham,E09000002,51.5466,0.125138,Thurrock,E06000034,51.494701,0.339563,0,3,0,0,0,0
Barking and Dagenham,E09000002,51.5466,0.125138,Unknown Outside London,ABCD,51.665,0.2,0,3,0,0,0,0
Barking and Dagenham,E09000002,51.5466,0.125138,Outside London,ABCD,51.665,0.2,0,6,0,1,1,1
Barnet,E09000003,51.605598,-0.20749,Waltham Forest,E09000031,51.588001,-0.009429,1,3,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Southwark,E09000028,51.483601,-0.078411,1,1,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Newham,E09000025,51.531502,0.031434,1,1,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Hounslow,E09000018,51.471401,-0.347354,1,1,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Hillingdon,E09000017,51.537899,-0.438425,1,1,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Haringey,E09000014,51.589699,-0.10574,1,3,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Enfield,E09000010,51.639999,-0.082491,1,4,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Camden,E09000007,51.5341,-0.143185,1,1,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Bromley,E09000006,51.3918,0.02663,1,1,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Brent,E09000005,51.551899,-0.257656,1,1,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Barnet,E09000003,51.605598,-0.20749,1,7,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Barking and Dagenham,E09000002,51.5466,0.125138,1,1,0,0,0,1
Barnet,E09000003,51.605598,-0.20749,Nottingham,E06000018,52.961201,-1.16881,0,1,0,0,0,0
Barnet,E09000003,51.605598,-0.20749,Unspecified,ABCDEF,51.665,0.3,0,2,1,0,1,1
Barnet,E09000003,51.605598,-0.20749,Unknown Outside London,ABCD,51.665,0.2,0,4,0,0,0,0
Barnet,E09000003,51.605598,-0.20749,Outside London,ABCD,51.665,0.2,0,5,0,1,1,1
Bexley,E09000004,51.459099,0.136015,Lewisham,E09000023,51.4524,-0.024704,1,1,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Islington,E09000019,51.538898,-0.108493,1,1,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Hounslow,E09000018,51.471401,-0.347354,1,2,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Hillingdon,E09000017,51.537899,-0.438425,1,2,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Havering,E09000016,51.571098,0.203656,1,2,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Enfield,E09000010,51.639999,-0.082491,1,2,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Ealing,E09000009,51.5182,-0.325289,1,1,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Croydon,E09000008,51.368198,-0.09617,1,2,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Camden,E09000007,51.5341,-0.143185,1,3,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Brent,E09000005,51.551899,-0.257656,1,2,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Bexley,E09000004,51.459099,0.136015,1,2,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Barking and Dagenham,E09000002,51.5466,0.125138,1,1,0,0,0,1
Bexley,E09000004,51.459099,0.136015,Milton Keynes,E06000042,52.039101,-0.751429,0,1,0,0,0,0
Bexley,E09000004,51.459099,0.136015,Bournemouth,E06000028,50.736301,-1.86602,0,1,0,0,0,0
Bexley,E09000004,51.459099,0.136015,Bristol,E06000023,51.460701,-2.58748,0,1,0,0,0,0
Bexley,E09000004,51.459099,0.136015,Blackpool,E06000009,53.817699,-3.03837,0,1,0,0,0,0
Bexley,E09000004,51.459099,0.136015,Unspecified,ABCDEF,51.665,0.3,0,3,1,0,1,1
